=================== STAGE A / arm routes / repeat 500 ===================
[nav-stress stress-A-routes-20260819105653] subject dist 2cce7616f7f96a0d  tests cf44d1061ebb87fa
  ✓   134 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /kkv.html responds and has a title and description (1.7s)
  ✓   136 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /hirdeteskezeles.html responds and has a title and description (896ms)
  ✓   137 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /impact-program.html responds and has a title and description (825ms)
  ✓   138 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /blog.html responds and has a title and description (828ms)
  ✓   139 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /ugyfelszolgalat.html responds and has a title and description (770ms)
  ✓   140 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /arajanlat.html responds and has a title and description (612ms)
  ✓   143 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /kkv.html responds and has a title and description (1.5s)
  ✓   144 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /branding.html responds and has a title and description (1.5s)
  ✓   145 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /nagyvallalat.html responds and has a title and description (1.6s)
  ✓   142 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /rolunk.html responds and has a title and description (1.6s)
  ✓   141 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /index.html responds and has a title and description (1.8s)
  ✓   147 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /impact-program.html responds and has a title and description (784ms)
  ✓   146 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /hirdeteskezeles.html responds and has a title and description (902ms)
  ✓   149 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /ugyfelszolgalat.html responds and has a title and description (808ms)
  ✓   148 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /blog.html responds and has a title and description (820ms)
  ✓   150 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /arajanlat.html responds and has a title and description (666ms)
  ✓   155 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /branding.html responds and has a title and description (1.4s)
  ✓   154 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /kkv.html responds and has a title and description (1.4s)
  ✓   152 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /nagyvallalat.html responds and has a title and description (1.5s)
  ✓   153 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /rolunk.html responds and has a title and description (1.5s)
  ✓   151 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /index.html responds and has a title and description (1.8s)
  ✓   157 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /impact-program.html responds and has a title and description (1.0s)
  ✓   159 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /ugyfelszolgalat.html responds and has a title and description (1.0s)
  ✓   156 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /hirdeteskezeles.html responds and has a title and description (1.2s)
  ✓   160 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /arajanlat.html responds and has a title and description (877ms)
  ✓   158 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /blog.html responds and has a title and description (1.2s)
  ✓   164 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /branding.html responds and has a title and description (1.5s)
  ✓   163 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /kkv.html responds and has a title and description (1.5s)
  ✓   161 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /rolunk.html responds and has a title and description (1.6s)
  ✓   162 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /index.html responds and has a title and description (1.7s)
  ✓   165 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /nagyvallalat.html responds and has a title and description (1.7s)
  ✓   167 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /impact-program.html responds and has a title and description (837ms)
  ✓   170 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /arajanlat.html responds and has a title and description (687ms)
  ✓   166 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /hirdeteskezeles.html responds and has a title and description (915ms)
  ✓   169 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /ugyfelszolgalat.html responds and has a title and description (778ms)
  ✓   168 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /blog.html responds and has a title and description (845ms)
  ✓   175 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /branding.html responds and has a title and description (1.3s)
  ✓   172 [mobile-390] › tests/public-site.spec.ts:264:5 › structure and content › /kkv.html responds and has a title and description (1.4s)
